strike,expiration,bid,ask,expiration_type,option_type,mid
1705,2/21/2020,0.85,1.4,standard,PUT,1.125
1710,2/21/2020,0.9,1.45,standard,PUT,1.175
1715,2/21/2020,0.95,1.5,standard,PUT,1.225
1720,2/21/2020,1,1.55,standard,PUT,1.275
1725,2/21/2020,1.05,1.6,standard,PUT,1.325
1730,2/21/2020,1.1,1.65,standard,PUT,1.375
1735,2/21/2020,1.15,1.7,standard,PUT,1.425
1740,2/21/2020,1.2,1.75,standard,PUT,1.475
1745,2/21/2020,1.25,1.85,standard,PUT,1.55
1750,2/21/2020,1.3,1.9,standard,PUT,1.6
1755,2/21/2020,1.4,1.95,standard,PUT,1.675
1760,2/21/2020,1.45,2.05,standard,PUT,1.75
1765,2/21/2020,1.5,2.15,standard,PUT,1.825
1770,2/21/2020,1.6,2.2,standard,PUT,1.9
1775,2/21/2020,1.65,2.35,standard,PUT,2
1780,2/21/2020,1.75,2.4,standard,PUT,2.075
1785,2/21/2020,1.85,2.5,standard,PUT,2.175
1790,2/21/2020,1.9,2.6,standard,PUT,2.25
1795,2/21/2020,2,2.75,standard,PUT,2.375
1800,2/21/2020,2.15,2.9,standard,PUT,2.525
1805,2/21/2020,2.25,3,standard,PUT,2.625
1810,2/21/2020,2.35,3.2,standard,PUT,2.775
1815,2/21/2020,2.5,3.4,standard,PUT,2.95
1820,2/21/2020,2.65,3.5,standard,PUT,3.075
1825,2/21/2020,3,3.6,standard,PUT,3.3
1830,2/21/2020,3,3.9,standard,PUT,3.45
1835,2/21/2020,3.2,4.1,standard,PUT,3.65
1840,2/21/2020,3.4,4.4,standard,PUT,3.9
1845,2/21/2020,3.6,4.6,standard,PUT,4.1
1850,2/21/2020,3.8,4.9,standard,PUT,4.35
1855,2/21/2020,4.1,5.2,standard,PUT,4.65
1860,2/21/2020,4.4,5.5,standard,PUT,4.95
1865,2/21/2020,4.7,5.8,standard,PUT,5.25
1870,2/21/2020,5,6.2,standard,PUT,5.6
1875,2/21/2020,5.4,6.6,standard,PUT,6
1880,2/21/2020,5.8,7,standard,PUT,6.4
1885,2/21/2020,6.2,7.5,standard,PUT,6.85
1890,2/21/2020,6.7,8,standard,PUT,7.35
1895,2/21/2020,7.2,8.6,standard,PUT,7.9
1900,2/21/2020,7.8,8.8,standard,PUT,8.3
1905,2/21/2020,8.5,9.5,standard,PUT,9
1910,2/21/2020,9.1,10.2,standard,PUT,9.65
1915,2/21/2020,9.9,11.3,standard,PUT,10.6
1920,2/21/2020,10.7,12.1,standard,PUT,11.4
1925,2/21/2020,11.6,12.6,standard,PUT,12.1
1930,2/21/2020,12.5,14,standard,PUT,13.25
1935,2/21/2020,13.6,14.7,standard,PUT,14.15
1940,2/21/2020,14.7,15.8,standard,PUT,15.25
1945,2/21/2020,15.9,17.2,standard,PUT,16.55
1950,2/21/2020,17.7,18.8,standard,PUT,18.25
1955,2/21/2020,19,20.5,standard,PUT,19.75
1960,2/21/2020,20.6,22,standard,PUT,21.3
1965,2/21/2020,22.3,24,standard,PUT,23.15
1970,2/21/2020,24.3,25.8,standard,PUT,25.05
1975,2/21/2020,26.5,28.1,standard,PUT,27.3
1980,2/21/2020,28.9,30.6,standard,PUT,29.75
1985,2/21/2020,31.4,33.2,standard,PUT,32.3
1990,2/21/2020,34.3,36.5,standard,PUT,35.4
1995,2/21/2020,37.4,39.7,standard,PUT,38.55
2000,2/21/2020,40.7,43.2,standard,PUT,41.95
2005,2/21/2020,44,47.7,standard,PUT,45.85
2010,2/21/2020,48,51.4,standard,PUT,49.7
2015,2/21/2020,52.2,56,standard,PUT,54.1
2020,2/21/2020,56.6,60.4,standard,PUT,58.5
2025,2/21/2020,61.2,65,standard,PUT,63.1
